price,district,room_type,bathroom_type,accommodates,bathrooms,bedrooms,beds,reviews,review_scores,host_response_rate,host_acceptance_rate,host_total_listings
255,Central & Western,Private room,Shared bathroom,1,1,1,1,0,20,0.95,0.77,230
558,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,0,80,0.98,0.73,101
180,Central & Western,Private room,Shared bathroom,1,1,1,1,0,80,0.96,0.77,266
369,Central & Western,Entire home/apt,Private bathroom,2,1,1,2,6,97,1,0.98,5
900,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,0,60,1,0.33,239
535,Central & Western,Private room,Private bathroom,3,1,1,2,25,96,0.83,0.9,15
1310,Central & Western,Entire home/apt,Private bathroom,3,1.5,1,3,6,97,0.83,0.9,15
1246,Central & Western,Private room,Private bathroom,3,1,1,1,9,96,0.83,0.9,15
1100,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,0,97,1,1,13
767,Central & Western,Private room,Private bathroom,5,1,1,3,12,92,0.83,0.9,15
350,Central & Western,Private room,Shared bathroom,2,1,1,1,1,40,0.47,0.8,1
1267,Central & Western,Private room,Private bathroom,5,1,2,2,14,100,0.83,0.9,15
612,Central & Western,Private room,Private bathroom,3,1,1,2,16,85,0.83,0.9,15
550,Central & Western,Private room,Private bathroom,2,1,1,1,0,80,1,0.33,239
780,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,8,97,0,0.33,1
369,Central & Western,Entire home/apt,Private bathroom,2,1,1,2,12,92,1,0.98,5
399,Central & Western,Private room,Shared bathroom,1,1,1,1,9,98,1,0.97,5
664,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,4,75,0.13,0,2
743,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,5,96,0.96,0.77,2
1089,Central & Western,Entire home/apt,Private bathroom,2,1,1,0,31,93,1,1,13
400,Central & Western,Entire home/apt,Private bathroom,4,1,1,3,4,100,0,0.13,1
800,Central & Western,Entire home/apt,Private bathroom,4,1,2,2,5,95,1,0.77,2
531,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,0,100,0.98,0.73,101
512,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,1,100,0.98,0.73,101
300,Central & Western,Private room,Shared bathroom,1,1,1,1,2,100,0,0,1
290,Central & Western,Private room,Private bathroom,1,1,1,1,25,97,0.9,0.59,4
1314,Central & Western,Entire home/apt,Private bathroom,8,1,4,1,193,95,0,0.9,8
406,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,42,86,0.91,0.99,5
270,Central & Western,Private room,Shared bathroom,2,1,1,1,0,100,1,0.8,369
520,Central & Western,Entire home/apt,Private bathroom,8,1,4,4,0,100,1,0.8,369
222,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,0,100,1,0.8,369
250,Central & Western,Private room,Shared bathroom,2,1,1,1,0,80,0.95,0.77,230
820,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,0,60,1,0.33,239
823,Central & Western,Entire home/apt,Private bathroom,3,1,1,2,10,94,1,1,1
2671,Central & Western,Entire home/apt,Private bathroom,4,1,2,2,6,92,0,0.63,1
400,Central & Western,Private room,Shared bathroom,1,1,1,1,0,100,0.5,0,2
650,Central & Western,Private room,Shared bathroom,1,1,1,1,1,100,0.9,0,1
284,Central & Western,Private room,Shared bathroom,2,1,1,1,0,100,1,0.8,369
1500,Central & Western,Entire home/apt,Private bathroom,2,2,2,2,4,100,1,1,2
634,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,0,70,1,0.35,225
324,Central & Western,Private room,Shared bathroom,2,1,1,1,0,100,1,0.8,369
495,Central & Western,Private room,Private bathroom,4,1,2,3,2,100,1,1,1
5440,Central & Western,Hotel room,Private bathroom,2,1,1,1,6,87,0.7,0.77,1
223,Central & Western,Private room,Shared bathroom,1,1,1,1,0,100,1,0.8,369
152,Central & Western,Private room,Shared bathroom,1,1.5,1,1,13,92,1,1,10
600,Central & Western,Entire home/apt,Private bathroom,3,1.5,1,1,42,94,1,0.96,7
1700,Central & Western,Entire home/apt,Private bathroom,4,1,1,2,25,94,1,0.97,11
1100,Central & Western,Entire home/apt,Private bathroom,8,3,2,4,9,83,1,1,7
880,Central & Western,Entire home/apt,Private bathroom,3,1,1,2,17,82,1,1,7
880,Central & Western,Entire home/apt,Private bathroom,3,1,4,2,25,92,1,1,7
1100,Central & Western,Entire home/apt,Private bathroom,6,2,2,3,41,93,1,1,7
274,Central & Western,Private room,Shared bathroom,2,1,1,1,0,60,1,0.8,369
2000,Central & Western,Entire home/apt,Private bathroom,4,1,2,2,0,90,0,0.63,0
850,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,5,100,1,1,1
3000,Central & Western,Private room,Private bathroom,3,0,1,1,0,94,0.94,0.62,1
388,Central & Western,Entire home/apt,Private bathroom,4,1,3,2,66,91,0.98,1,12
267,Central & Western,Entire home/apt,Private bathroom,1,1,1,1,0,80,1,0.8,369
600,Central & Western,Entire home/apt,Private bathroom,2,1,1,1,1,80,1,0.33,239
550,Central & Western,Private room,Shared bathroom,2,1,1,1,1,100,1,0.9,4
290,Central & Western,Private room,Shared bathroom,2,1,1,0,0,20,1,0.8,369
