price,district,room_type,bathroom_type,accommodates,bathrooms,bedrooms,beds,reviews,review_scores,host_response_rate,host_acceptance_rate,host_total_listings
"$1,700.00",Central & Western,Entire home/apt,1 bath,4,1 bath,2,2,0,,100%,33%,239
"$1,200.00",Central & Western,Entire home/apt,1 bath,2,1 bath,1,1,0,,100%,33%,239
"$3,143.00",Central & Western,Entire home/apt,1.5 baths,4,1.5 baths,1,2,3,100,100%,100%,13
$320.00,Central & Western,Entire home/apt,1.5 baths,2,1.5 baths,,1,195,94,100%,99%,7
"$1,314.00",Central & Western,Entire home/apt,1.5 baths,8,1.5 baths,2,4,211,96,0%,90%,8
$429.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,1,4,100,0%,,1
$255.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,1,0,,95%,77%,230
$558.00,Central & Western,Entire home/apt,1 bath,2,1 bath,,1,0,,98%,73%,101
$180.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,1,0,,96%,77%,266
$369.00,Central & Western,Entire home/apt,1 bath,2,1 bath,,2,6,97,100%,98%,5
$900.00,Central & Western,Entire home/apt,1 bath,2,1 bath,,1,0,,100%,33%,239
$535.00,Central & Western,Private room,Shared half-bath,3,Shared half-bath,1,2,25,96,83%,90%,15
"$1,310.00",Central & Western,Entire home/apt,1.5 baths,3,1.5 baths,,3,6,97,83%,90%,15
"$1,246.00",Central & Western,Private room,Shared half-bath,3,Shared half-bath,1,1,9,96,83%,90%,15
"$1,100.00",Central & Western,Entire home/apt,1 bath,2,1 bath,1,1,0,,100%,100%,13
$767.00,Central & Western,Private room,Shared half-bath,5,Shared half-bath,1,3,12,92,83%,90%,15
$350.00,Central & Western,Private room,1 shared bath,2,1 shared bath,1,1,1,40,,,1
"$1,267.00",Central & Western,Private room,1 private bath,5,1 private bath,,2,14,100,83%,90%,15
$612.00,Central & Western,Private room,1 private bath,3,1 private bath,1,2,16,85,83%,90%,15
$550.00,Central & Western,Private room,1 private bath,2,1 private bath,,1,0,,100%,33%,239
$780.00,Central & Western,Entire home/apt,1 bath,2,1 bath,1,1,8,97,0%,,1
$369.00,Central & Western,Entire home/apt,1 bath,2,1 bath,,2,12,92,100%,98%,5
$399.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,1,9,98,,,5
$664.00,Central & Western,Entire home/apt,1 bath,2,1 bath,1,1,4,75,,,2
$743.00,Central & Western,Entire home/apt,1 bath,2,1 bath,1,1,5,96,,,2
"$1,089.00",Central & Western,Entire home/apt,1 bath,2,1 bath,1,0,31,93,100%,100%,13
$400.00,Central & Western,Entire home/apt,1 bath,4,1 bath,1,3,4,,0%,,1
$800.00,Central & Western,Entire home/apt,1 bath,4,1 bath,2,2,5,95,,,2
$531.00,Central & Western,Entire home/apt,1 bath,2,1 bath,,1,0,,98%,73%,101
$512.00,Central & Western,Entire home/apt,1 bath,2,1 bath,,1,1,100,98%,73%,101
$300.00,Central & Western,Private room,1 shared bath,1,1 shared bath,1,1,2,100,0%,0%,1
$290.00,Central & Western,Private room,Shared half-bath,1,Shared half-bath,1,1,25,97,90%,59%,4
"$1,314.00",Central & Western,Entire home/apt,1 bath,8,1 bath,,1,193,95,0%,90%,8
$406.00,Central & Western,Entire home/apt,1 bath,2,1 bath,,1,42,86,91%,99%,5
$270.00,Central & Western,Private room,1 shared bath,2,1 shared bath,1,1,0,,100%,80%,369
$520.00,Central & Western,Entire home/apt,1 bath,8,1 bath,4,4,0,,100%,80%,369
$222.00,Central & Western,Entire home/apt,1 bath,2,1 bath,,1,0,,100%,80%,369
